Post_ID,Type,Category,Slide_1_Title,Highlight_Word,Slide_2_Question_or_Title,Option_A,Option_B,Option_C,Option_D,Slide_3_Question,Slide_4_Question,Slide_5_Question,Slide_6_Question,Status
Post_14,Question,Couples,5 questions about jealousy neither of you talk about,jealousy,Has jealousy ever made you act differently around me?,,,,,What's something that quietly makes you insecure?,Do you compare us to other couples?,What would help you feel more secure in us?,Is there something I do that unintentionally triggers jealousy?,Done
Post_15,Question,Couples,5 questions about the silence between you two,silence,What's something you've stayed quiet about to protect me?,,,,,Do you ever hide how you really feel to avoid a fight?,What's the hardest thing you've never told me?,When was the last time silence said more than words could?,What would you say if you knew I wouldn't react badly?,Done
Post_16,Question,Couples,5 questions about comfort vs. passion,passion,"Do you think we're more comfortable now, or more passionate?",,,,,What made you feel butterflies about me most recently?,Is there a version of us you miss?,What keeps the spark alive for you?,What's something new you want us to try together?,Done
Post_17,Question,Couples,5 questions about the small things that matter most,small,What's a small thing I do that you never want me to stop?,,,,,What's the smallest gesture that made you feel loved?,Is there a tiny habit of mine that quietly annoys you?,What's something small I've never noticed you do for me?,What's a small moment between us you still think about?,Done
Post_18,Question,Couples,5 questions about the person you're afraid to disappoint,disappoint,Do you ever feel like you're not enough for me?,,,,,What's something you'd hate for me to find out?,Have I ever made you feel like you had to hide a part of yourself?,What's a moment you felt like you let me down?,What would you want me to say if you ever did disappoint me?,Done
Post_19,Question,Couples,"5 questions about growing apart, honestly",apart,Do you think we've grown closer or further apart this year?,,,,,What's something you needed from me that you never asked for?,Is there a part of you that feels unseen right now?,What would it take to feel like a team again?,"What's one thing you wish we did more of, together?",Done
Post_20,Question,Couples,5 questions about the family you'll build or already have,family,"What kind of parent do you think you'll be, or already are?",,,,,What's a tradition from your childhood you want us to keep?,What scares you most about building a life together?,"What's something your family taught you about love, good or bad?",What kind of home do you want us to create?,Done
Post_21,Question,Couples,5 questions to ask about who comes first,first,Do you feel like a priority in my life right now?,,,,,What's something that's been taking my attention away from you?,How do you want to be prioritized when life gets busy?,What's a time you felt truly chosen by me?,What would 'putting us first' look like this week?,Done
Post_22,Question,Couples,5 questions about the apology you never got,apology,Is there something I've never properly apologized for?,,,,,What's something you're still waiting to hear me say sorry for?,How do you know when an apology from me is real?,What's the hardest thing for you to apologize for?,"Is there something you owe me an apology for, too?",Done
Post_23,Question,Couples,5 questions about what makes you feel proud of us,proud,What's something about us you're genuinely proud of?,,,,,What's a hard moment we got through that you're proud of?,What do you brag about when people ask about your relationship?,What's something I've done that made you proud to call me yours?,What do you hope people notice about us together?,Done
Post_24,Question,Couples,5 questions about the compliments you never say out loud,compliments,What's something you admire about me that you rarely say?,,,,,What's a compliment you wish I gave you more often?,What's the nicest thing anyone's ever said about our relationship?,What's something about my personality you secretly love?,What do you think is my most attractive quality that isn't physical?,Done
Post_25,Question,Couples,5 questions about what independence means to you two,independence,Do you feel like you've lost any part of yourself in us?,,,,,"What do you need space for, that has nothing to do with me?",How do you balance 'us' with staying you?,What's something you do just for yourself that you love?,Do you think we give each other enough freedom?,Done
Post_26,Question,Couples,5 questions about the version of love your parents showed you,parents,What did your parents' relationship teach you about love?,,,,,What's something you swore you'd never repeat from your childhood?,"Is there a habit of mine that reminds you of your parents, good or bad?",What kind of love did you not get growing up that you want from me?,What's a lesson about love you're still unlearning?,Done
Post_27,Question,Couples,5 questions about being chosen every day,chosen,What made you choose me on a day you didn't have to?,,,,,"What's a moment you almost walked away, but didn't?",Do you still feel like choosing me is easy?,What would make it easier to choose each other on hard days?,What's something that reminds you why you're still here?,Done
Post_28,Question,Couples,5 questions about the things you're scared to need,need,What's something you need from me that you're afraid to ask for?,,,,,Do you feel guilty needing things from me?,What's the hardest thing for you to admit you need?,When was the last time you felt taken care of by me?,What would it look like if I met that need perfectly?,Done
Post_29,Question,Couples,5 questions about the version of us other people see,other people,What do you think other people notice about us?,,,,,Is there a side of our relationship no one else sees?,What's something people misunderstand about us as a couple?,Do you think we act differently around others than alone?,What would you want people to know about how we love each other?,Done
Post_30,Question,Couples,5 questions about forgiveness in your relationship,forgiveness,What's something you forgave me for but haven't fully let go of?,,,,,How do you know when you've truly forgiven someone?,Is there something you're still holding onto from our past?,What helps you forgive faster?,What's something you need me to forgive you for?,Done
Post_31,Question,Couples,5 questions about the moments that made you fall harder,harder,What's a moment you fell for me all over again?,,,,,When did you realize this relationship was different?,What's something ordinary that became special because of me?,What's a memory that still gives you butterflies?,What's the exact moment you knew you loved me?,Done
Post_32,Question,Couples,5 questions about what security really means to you,security,What makes you feel emotionally secure with me?,,,,,Is there something that makes you feel unsure about us?,What's a fear about security you've never voiced?,How do you want me to reassure you when you're anxious?,What would make our relationship feel unshakeable to you?,Done
Post_33,Question,Couples,5 questions about the things you've never told anyone,never,What's something you've never told anyone but me?,,,,,Is there something you still haven't told me?,What's a secret fear you carry quietly?,What's something about your past that shaped you more than people know?,"What would you want me to know, even if it's hard to say?",Done
Post_34,Question,Couples,5 questions about how you handle stress together,stress,What do you need from me when you're overwhelmed?,,,,,"Do I make your stress better or worse, honestly?",What's something I do during hard times that helps you?,How do you want me to show up when life gets heavy?,What's a stressful season we got through that made us stronger?,Done
Post_35,Question,Couples,5 questions about the compliment that changed how you see yourself,changed,What's something I've said that changed how you see yourself?,,,,,Do you feel more confident because of our relationship?,What's a fear about yourself that's softened since we met?,What part of yourself do you like more because of me?,What do you think I see in you that you don't see in yourself?,Done
Post_36,Question,Couples,5 questions about the version of home you are to each other,home,What does 'home' mean to you when you think of me?,,,,,What's a moment I felt like home to you?,Is there a place that reminds you of us?,What would make our life together feel more like home?,What's something that makes you feel most at peace with me?,Done
Post_37,Question,Couples,5 questions about honesty you're afraid of,honesty,What's something you've never been fully honest with me about?,,,,,"Do you think we tell each other the whole truth, always?",What's a white lie you've told me to avoid conflict?,What would make it easier for you to be brutally honest with me?,Is there something you need to say but keep putting off?,Done
Post_38,Question,Couples,5 questions about the moments you felt unseen,unseen,When was the last time you felt invisible in this relationship?,,,,,What's something you wish I noticed without you saying it?,Do you feel like your efforts go unnoticed sometimes?,What's a way I could make you feel more seen?,What's something you do for us that I rarely acknowledge?,Done
Post_39,Question,Couples,5 questions about what makes you feel desired,desired,"What makes you feel wanted, beyond just physical touch?",,,,,Is there a way I show desire that you especially love?,What's something that makes you feel unattractive or unseen?,What's a moment recently you felt truly desired by me?,What would you want more of when it comes to feeling wanted?,Done
Post_40,Question,Couples,5 questions about time and how you spend it together,time,Do you feel like we spend enough quality time together?,,,,,"What's a way we spend time that feels wasted, honestly?",What's your favorite kind of ordinary day with me?,What's something you wish we made more time for?,"If we had one free day with no obligations, what would you want to do?",Done
Post_41,Question,Couples,5 questions about the version of yourself you hide,hide,Is there a part of yourself you still hide from me?,,,,,What's something you're afraid I'd judge you for?,What would it take for you to feel fully comfortable being yourself?,What's a habit or thought you've never admitted to me?,What do you wish I understood about the parts of you that feel messy?,Done
Post_42,Question,Couples,5 questions about the promises you've made each other,promises,What's a promise you've made to me that you take most seriously?,,,,,Is there a promise you feel like I haven't fully kept?,What's something you promise yourself about how you'll love me?,What's a commitment we've never said out loud but both live by?,What promise do you wish I'd make to you?,Done
Post_43,Question,Couples,5 questions about the hardest season you've survived together,survived,What's the hardest thing we've been through together?,,,,,What did that season teach you about us?,Did you ever doubt we'd make it through?,What's something I did during that time that you'll never forget?,How did that hard season change the way you love me?,Done
Post_44,Question,Couples,5 questions about what makes you feel safe enough to cry,cry,Do you feel like you can cry in front of me without shame?,,,,,What's something that makes you want to cry but you hide it?,What do you need from me when you're falling apart?,When was the last time you let yourself be fully vulnerable with me?,What would make it easier for you to show your softest side?,Done
Post_45,Question,Couples,5 questions about the way you argue and make up,argue,What's your go-to way of making up after a fight?,,,,,Do you think we resolve conflict in a healthy way?,What's something you need to hear after we argue?,Is there an unresolved argument still sitting between us?,What would make our fights end faster and fairer?,Pending
Post_46,Question,Couples,5 questions about the moments that felt like fate,fate,"Do you believe we were meant to meet, or was it just chance?",,,,,What's a moment with me that felt bigger than coincidence?,"If we hadn't met when we did, do you think we'd have found each other anyway?","What's a sign, if any, that convinced you I was right for you?","Do you believe in soulmates, or something else entirely?",Pending
Post_47,Question,Couples,5 questions about what makes you feel like a team,team,When do you feel like we work best as a team?,,,,,What's a decision we made together that you're proud of?,Is there an area of life we don't tackle as a team yet?,What's something I do that makes you feel supported?,What would make us feel more like partners in everything?,Pending
Post_48,Question,Couples,5 questions about the fear of becoming complacent,complacent,Do you ever worry we're becoming too comfortable?,,,,,What's something new you want us to explore together?,What keeps our relationship from feeling routine?,Is there an effort you feel like has faded over time?,What's one thing we could do to feel like we're dating again?,Pending
Post_49,Question,Couples,5 questions about the way you show up for each other,show up,What's a moment I really showed up for you?,,,,,Is there a time you needed me and I wasn't fully there?,What does 'showing up' for you actually look like?,What's something small I do consistently that you appreciate?,How do you want me to show up for you this week?,Pending
Post_50,Question,Couples,5 questions about the version of us five years ago,five years,How have we changed since we first got together?,,,,,What's something about our relationship now that you didn't expect?,What do you miss about who we used to be?,What's something better about us now than before?,Where do you hope we are in another five years?,Pending
Post_51,Question,Couples,5 questions about your biggest what-ifs,what-ifs,Is there a 'what if' about us that crosses your mind sometimes?,,,,,What's a risk you're glad we took together?,What's something you wonder if we should have done differently?,Do you ever think about what life would look like without me?,What's a decision about us you'd never change?,Pending
Post_52,Question,Couples,5 questions about the way you two communicate,communicate,Do you feel like I really listen when you talk to me?,,,,,What's something you wish I asked you more often?,Is there a topic you avoid bringing up with me?,What's the best conversation we've had recently?,"How do you want me to respond when you're venting, not asking for advice?",Pending
Post_53,Question,Couples,5 questions about what makes you feel most attractive to me,attractive,What's a moment you felt most attractive in my eyes?,,,,,Is there something about your looks you're insecure about?,What do I do that makes you feel confident in your own skin?,What's a compliment about your appearance you'd love to hear more?,What's something non-physical that makes you feel irresistible to me?,Pending
Post_54,Question,Couples,5 questions about the routines that quietly hold you together,routines,What's a small daily routine of ours you'd hate to lose?,,,,,Is there a habit we've built that makes you feel connected?,What's something we used to do that you miss?,What routine would you want us to start?,What's the most 'us' thing about our everyday life?,Pending
Post_55,Question,Couples,5 questions about the things you're most grateful for,grateful,What's something about me you're quietly grateful for?,,,,,What's a hard time I helped you through that you never thanked me for?,What's something about our life together you don't take for granted?,What's a quality of mine you wish you told me you appreciated?,"What are you most thankful for about us, right now?",Pending
Post_56,Question,Couples,5 questions about what makes you feel most yourself,yourself,When do you feel most like yourself around me?,,,,,Is there a part of you that only comes out when we're alone?,What's something I do that lets you drop your guard?,What's a way I could help you feel more free to be you?,What's the most 'you' thing about how you love me?,Pending
Post_57,Question,Couples,5 questions about the way you handle change together,change,How do you usually react when big changes happen in our life?,,,,,What's a change we went through that tested us?,Do you feel like I adapt well when plans shift?,What's a change coming up that makes you nervous?,How can I support you better through uncertainty?,Pending
Post_58,Question,Couples,5 questions about the sacrifices you've made for each other,sacrifices,What's something you gave up for this relationship?,,,,,Do you feel like our sacrifices for each other are equal?,What's a sacrifice I made that you never fully acknowledged?,"Is there something you'd never sacrifice, even for us?",What's something you'd happily give up for our future?,Pending
Post_59,Question,Couples,5 questions about the little rituals only you two share,rituals,What's an inside joke or ritual only we understand?,,,,,What's something silly we do that means more than it seems?,Is there a tradition we've built that you love?,What's a ritual you'd want us to start?,What's the weirdest thing that's become 'our thing'?,Pending
Post_60,Question,Couples,5 questions about the version of love you're still learning,learning,What's something about loving me you're still figuring out?,,,,,What's a way I love you that you're still learning to receive?,What's something about love you understand differently now than before?,What lesson about love has this relationship taught you?,What do you still want to learn about how I love?,Pending
Post_61,Question,Couples,5 questions about your biggest dreams for us,dreams,What's a dream for our future you've never said out loud?,,,,,What's something you hope we build together one day?,Is there a version of success for 'us' that matters more than money?,What's a bucket-list moment you want to share with me?,What legacy do you want us to leave behind?,Pending
Post_62,Question,Couples,5 questions about your quietest insecurities,insecurities,What's an insecurity you carry that you've never fully explained?,,,,,Do you ever feel like you're not enough for me?,What's something about yourself you wish felt easier to accept?,How can I help you feel more secure about that?,What's something I've said that accidentally made an insecurity worse?,Pending
Post_63,Question,Couples,5 questions about the effort you put into loving each other,effort,Do you feel like we put in equal effort right now?,,,,,What's something I do that shows you I'm still trying?,Is there an area of our relationship that needs more effort?,What's something small you could do this week to show up more?,What effort from me means the most to you?,Pending
Post_64,Question,Couples,5 questions about what makes you feel understood,understood,What's something about you that took me a while to understand?,,,,,"Do you feel like I get you, even when you don't explain?",What's a misunderstanding between us that still lingers?,What's something you wish I understood better right now?,What helps you feel truly understood by someone?,Pending
Post_65,Question,Couples,5 questions about your definition of a good day,good day,What does a perfect ordinary day with me look like to you?,,,,,What's something small that instantly makes your day better?,What's your favorite way to end the day together?,What's a simple thing we could do more often that makes you happy?,"What's the best day we've had recently, and why?",Pending
Post_66,Question,Couples,5 questions about the version of you that needs reassurance,reassurance,What's something you need to hear more often from me?,,,,,When do you feel most in need of reassurance?,What's a fear that reassurance from me could ease?,How do you like to be comforted when you're anxious?,What's something I say that always calms you down?,Pending
Post_67,Question,Couples,5 questions about the way you two celebrate each other,celebrate,"Do you feel celebrated for your wins, big or small?",,,,,What's an achievement of yours I should be prouder of?,What's the best way I've ever celebrated something for you?,How do you want me to show up during your hard days versus your wins?,What's something about you worth celebrating that goes unnoticed?,Pending
Post_68,Question,Couples,5 questions about the way you protect each other,protect,What's something you feel protective of when it comes to me?,,,,,Do you feel emotionally protected in this relationship?,What's a time I protected you without you asking?,What's something you wish I protected you from more?,What does feeling protected by me actually look like?,Pending
Post_69,Question,Couples,5 questions about the identity you share as a couple,identity,What do you think defines 'us' as a couple?,,,,,Is there a label or story about us you don't fully agree with?,What's something people get wrong about our relationship?,What do you want to be known for as a couple?,"What's a value you think we both share, deep down?",Pending
Post_70,Question,Couples,5 questions about the way you handle disappointment,disappointment,What's something I've done that quietly let you down?,,,,,How do you usually cope when I disappoint you?,"What's the difference between disappointment and something bigger, for you?",What would help you tell me sooner when I've let you down?,What's something you're still processing that you haven't said?,Pending
Post_71,Question,Couples,5 questions about the way you handle boredom together,boredom,"Do you ever feel bored in our relationship, and is that okay?",,,,,What's something new we could try to shake things up?,What's the most spontaneous thing we've ever done together?,Is there a hobby you wish we shared?,What's a version of adventure that excites you right now?,Pending
Post_72,Question,Couples,5 questions about the way physical touch matters to you,touch,How important is physical affection to you day to day?,,,,,What's a small touch that makes you feel connected instantly?,Do you feel like we're affectionate enough outside the bedroom?,What's something about physical closeness you wish I understood?,What's your favorite kind of physical affection from me?,Pending
Post_73,Question,Couples,5 questions about what commitment really means to you,commitment,"What does true commitment look like to you, beyond words?",,,,,Is there a moment you felt fully committed to this relationship?,"What's something that tests your commitment, honestly?",What would make you feel even more secure in our commitment?,What does 'choosing each other every day' actually mean to you?,Pending
Post_74,Question,Couples,5 questions about the way humor holds you together,humor,What's the funniest memory we share?,,,,,"Do you think our humor matches, or clashes sometimes?",What's a joke or bit that's become 'ours'?,How does humor help you get through hard moments with me?,What's something about my humor you secretly love?,Pending
Post_75,Question,Couples,5 questions about the way you handle money together,money,How do you feel about the way we talk about money?,,,,,Is there a money habit of mine that stresses you out?,What does financial security mean to you in our relationship?,What's a money goal you want us to work toward together?,Do you feel like we're honest with each other about spending?,Pending
Post_76,Question,Couples,5 questions about what makes you feel emotionally full,full,What fills you up emotionally on a hard week?,,,,,Is there something I do that quietly drains you?,What's a small act that makes you feel emotionally cared for?,What does emotional intimacy look like to you?,What's something you wish we talked about more deeply?,Pending
Post_77,Question,Couples,5 questions about the moments you've felt most loved,loved,What's the moment you've felt most loved by me?,,,,,Was there ever a time you doubted how much I loved you?,What's something small that makes you feel deeply loved?,How has the way you feel loved by me changed over time?,"What's something you want me to do more, to help you feel loved?",Pending
Post_78,Question,Couples,5 questions about the goodbye you're both scared of,goodbye,What's your biggest fear about losing me one day?,,,,,"Have you ever imagined life without me, even briefly?",What would you want me to know if something ever happened to you?,What's something you'd regret not saying to me?,How do you want to be remembered by me?,Pending
Post_79,Question,Couples,5 questions about the way you handle each other's bad days,bad days,What do you need from me on your worst days?,,,,,Is there something I do on your bad days that doesn't help?,What's the best thing I've ever done to comfort you?,"How can you tell when something's really wrong with me, even if I don't say it?",What's a way we could better support each other during hard weeks?,Pending
Post_80,Question,Couples,5 questions about the version of intimacy beyond words,intimacy,What makes you feel emotionally close to me without needing to talk?,,,,,What's a quiet moment together that felt deeply intimate?,Do you feel like we're intimate in ways beyond the physical?,What's something that makes you feel truly connected to me?,What would deepen our intimacy right now?,Pending
Post_81,Question,Couples,5 questions about the small annoyances you never mention,annoyances,Is there a small habit of mine that quietly bothers you?,,,,,What's something you've let slide instead of bringing up?,"Do you think we handle little annoyances well, or let them build?",What's a pet peeve of yours I might not know about?,What's something I do that you secretly find endearing despite yourself?,Pending
Post_82,Question,Couples,"5 questions about your love story, from your side",love story,How would you describe our love story to a stranger?,,,,,What's the chapter of our story you're proudest of?,Is there a part of our story you wish went differently?,What do you think the next chapter of us looks like?,"If our relationship were a book, what would you title it?",Pending
Post_83,Question,Couples,5 questions about what makes you feel respected,respected,Do you feel like your opinions are respected in this relationship?,,,,,What's a moment you felt truly respected by me?,Is there a time you felt dismissed or unheard?,What does respect look like to you in everyday moments?,What's something I could do to show more respect for your time or space?,Pending
Post_84,Question,Couples,5 questions about the way you two make decisions,decisions,Do you feel like we make big decisions together fairly?,,,,,What's a decision you wish I'd included you in more?,How do you want us to handle disagreements about big life choices?,What's a decision we made that turned out better than expected?,What's something coming up that we need to decide on together?,Pending
Post_85,Question,Couples,5 questions about the way you handle being wrong,wrong,How do you feel when you're wrong in an argument with me?,,,,,Is it easy or hard for you to admit fault to me?,What's something you were wrong about that you never fully admitted?,How do you want me to react when you're the one who messed up?,What's the hardest thing for you to say sorry for?,Pending
Post_86,Question,Couples,5 questions about the way you show up during illness,illness,How do you feel taken care of when you're sick or hurting?,,,,,What's something I did when you were unwell that you'll never forget?,What do you need from me when you're not feeling your best?,Is there something I could do better when you're struggling physically?,What's your idea of being properly taken care of?,Pending
Post_87,Question,Couples,5 questions about the way ambition shapes your relationship,ambition,Do you feel like my ambitions leave enough room for us?,,,,,What's a goal of mine that you're genuinely proud of?,Is there a way our ambitions ever compete instead of align?,What do you need from me to support your goals better?,What's a dream of yours I could support more actively?,Pending
Post_88,Question,Couples,5 questions about the way you handle silence together,silence,"Are you comfortable with quiet moments between us, or do they feel tense?",,,,,What's your favorite kind of silence with me?,Is there ever a silence that worries you?,What does comfortable silence with someone mean to you?,What's something peaceful about doing nothing together?,Pending
Post_89,Question,Couples,5 questions about the way you talk about your feelings,feelings,Do you find it easy or hard to tell me how you're feeling?,,,,,What's a feeling you've kept from me recently?,What would make it easier for you to open up emotionally?,Is there an emotion you wish I understood better in you?,What do you need from me when you're overwhelmed with feelings?,Pending
Post_90,Question,Couples,5 questions about the way you plan your future together,future,Do you feel like we're on the same page about our future?,,,,,What's a future plan of ours that excites you most?,Is there something about our future you haven't voiced yet?,"What timeline, if any, matters to you about our next steps?",What's one thing you want us to plan for together this year?,Pending
Post_91,Question,Couples,5 questions about the way you handle each other's friends,friends,Do you feel like I make an effort with your friends?,,,,,Is there something about my friendships that's ever bothered you?,What do you want our social life together to look like?,What's something my friends said about us that stuck with you?,How do you feel about the balance between our friends and our time together?,Pending
Post_92,Question,Couples,5 questions about the compliments you'd give right now,right now,"What's something you're proud of me for, right now, today?",,,,,What's a quality of mine you've noticed grow over time?,What's something about how I've handled this year that impressed you?,What's a strength of mine you wish I recognized in myself?,What do you admire about how I love you?,Pending
Post_93,Question,Couples,5 questions about the way you handle each other's pasts,past,Is there something about my past that's hard for you to accept?,,,,,Do you feel like I've made peace with your past?,What's something from before us that still affects how you love?,How do you want me to handle conversations about our exes?,"What's a wound from your past you're still healing, that I should know about?",Pending
Post_94,Question,Couples,5 questions about the way you handle boredom in conversation,conversation,Do our conversations still feel exciting to you?,,,,,What's a topic you wish we talked about more?,Is there something you've stopped telling me about your day?,What kind of conversations make you feel most connected to me?,"What's something you've never asked me, but want to?",Pending
Post_95,Question,Couples,5 questions about the way you two celebrate small wins,small wins,What's a small win of yours I should celebrate more?,,,,,"How do you like to be congratulated, quietly or loudly?",What's something ordinary I did recently that deserved more praise?,What's a personal goal you're working on that I could support more?,"What does feeling proud of yourself, with me by your side, look like?",Pending
Post_96,Question,Couples,5 questions about the way you show affection in public,public,How do you feel about public displays of affection between us?,,,,,Is there a way I show affection publicly that embarrasses or delights you?,What's a public moment with me you still think about?,Do you want more or less affection from me in front of others?,What's the difference between how we act in public versus alone?,Pending
Post_97,Question,Couples,5 questions about the way you handle each other's mistakes,mistakes,What's the biggest mistake I've made that you've truly forgiven?,,,,,Do you feel safe admitting mistakes to me?,What's a mistake of mine that still lingers in your mind?,How do you want me to react when you mess up?,What's something you've learned from a mistake we made together?,Pending
Post_98,Question,Couples,5 questions about the way you handle change in each other,change,"How have I changed since we met, for better or worse?",,,,,Is there a change in me you're still adjusting to?,What's a part of yourself you've changed for the better because of us?,Do you feel like we've grown at the same pace?,What's a change you hope to see in yourself next?,Pending
Post_99,Question,Couples,5 questions about the way you handle stillness in life,stillness,"What does a slow, ordinary Sunday with me look like to you?",,,,,Do you crave more stillness or more excitement in our life?,What's a peaceful moment with me you'd want to relive?,"How do you recharge best, with me or alone?",What's something calm about our relationship you cherish?,Pending
Post_100,Question,Couples,5 questions about the way you handle 'what's next' for you two,what's next,What's the next big milestone you're hoping for with me?,,,,,Is there something you're waiting for me to bring up?,What's a version of 'us' in ten years that feels exciting?,What's something you need to feel ready for our next step?,What are you most looking forward to about our future?,Pending
